survey,source,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20
CR. 0208-09 CRUCERO DE ESTIMACION DE BIOMASA DESOVANTE POR EL METODO DE PRODUCCION DE HUEVOS,ReestimacionTBE,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,94,147,5079,17165,30218,36421,57798,64501,46377,29029,16005,6716,1892,535,243,107,18,0,0,0,0,0
CR. 0209-11 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,28,342,313,28,0,0,0,7,2,6,1,0,0,40,42,235,1561,6622,10287,11514,30370,81781,92498,69674,40044,13164,4153,775,502,237,0,0,0,0,0
CR. 0302-04 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,0,3977,2864,11216,74628,69840,57745,84331,117866,136140,116326,63974,25756,12381,8727,6786,9134,8662,5009,11287,21650,44579,60693,33217,7837,1494,168,29,0,0,0,0,0
CR. 0308-09 CRUCERO DE ESTIMACION DE BIOMASA DESOVANTE POR EL METODO DE PRODUCCION DE HUEVOS,ReestimacionTBE,0,0,0,0,0,0,0,372,160,371,8132,32492,76797,149196,152877,108784,90137,63789,54015,55886,38110,22299,23946,36079,50390,41744,18945,16110,8855,1229,769,35,0,0,0,0,0
CR. 0310-12 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,937,2812,70103,97614,24208,10466,7233,11337,12628,15133,6742,2629,759,42,56,91,551,845,3625,6614,13473,27124,31916,31042,26337,16171,7384,2388,516,72,0,0,0,0,0
CR. 0402-03 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,0,392,5062,38674,162568,343201,333567,352379,209855,172771,152717,130095,118952,99020,78154,60258,46248,33610,35407,17855,14650,20207,15830,6554,2489,331,60,12,0,0,0,0,0
CR. 0408-09 CRUCERO DE ESTIMACION DE BIOMASA DESOVANTE POR EL METODO DE PRODUCCION DE HUEVOS,ReestimacionTBE,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,72,635,3973,15194,25853,30295,43259,57856,79386,73935,63622,35049,16339,5066,1529,314,0,0,0,0,0,0
CR. 0411-12 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,1826,18956,41184,63073,56075,57505,101980,112682,63831,33065,10408,5551,3910,1792,761,1297,168,278,642,2046,8856,25805,40587,30519,8751,3093,546,45,0,0,0,0,0
CR. 0502-04 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,2316,2891,7620,10049,16706,24589,72434,112652,171203,205879,183775,142042,106529,83879,64651,55875,46659,47299,48220,32420,16872,20283,24804,33027,28078,6958,523,138,540,0,0,0,0
CR. 0508-09 CRUCERO DE ESTIMACION DE BIOMASA DESOVANTE POR EL METODO DE PRODUCCION DE HUEVOS,ReestimacionTBE,0,0,0,0,0,0,0,0,0,0,0,0,0,1231,2027,6071,14373,28803,64922,95033,106054,84026,67619,50341,29189,17588,11507,6965,2317,1125,346,13,32,0,0,0,0
